Gene,gRNA
AC010319.1,NTC-10
AC010343.1,NTC-10
AC010618.1,NTC-10
AC010761.1,NTC-10
AC010970.1,NTC-10
AC011043.1,NTC-10
AC011462.1,NTC-10
AC011481.1,NTC-10
AC011529.1,NTC-10
AC012435.1,NTC-10
AC013394.1,NTC-10
AC015802.6,NTC-10
AC017083.3,NTC-10
AC018709.1,NTC-10
AC018755.3,NTC-10
AC023794.4,NTC-10
AC024592.3,NTC-10
AC026412.1,NTC-10
AC026470.1,NTC-10
AC027559.1,NTC-10
AC040162.1,NTC-10
AC046144.1,NTC-10
AC060764.1,NTC-10
AC064862.1,NTC-10
AC073107.1,NTC-10
AC073111.5,NTC-10
AC073349.2,NTC-10
AC073585.1,NTC-10
AC073869.1,NTC-10
AC074143.1,NTC-10
AC079880.1,NTC-10
AC080038.1,NTC-10
AC087289.1,NTC-10
AC087633.2,NTC-10
AC087721.2,NTC-10
AC090502.4,NTC-10
AC090517.4,NTC-10
AC092070.2,NTC-10
AC092338.1,NTC-10
AC093323.1,NTC-10
AC093752.1,NTC-10
AC093827.5,NTC-10
AC093909.1,NTC-10
AC097374.1,NTC-10
AC098934.1,NTC-10
AC104389.4,NTC-10
AC104389.5,NTC-10
AC106795.1,NTC-10
AC109635.4,NTC-10
AC113398.1,NTC-10
AC114267.1,NTC-10
AC118549.1,NTC-10
AC119751.3,NTC-10
AC124319.1,NTC-10
AC124864.2,NTC-10
AC124944.3,NTC-10
AC124947.2,NTC-10
AC126177.6,NTC-10
AC129492.1,NTC-10
AC131206.1,NTC-10
AC132008.2,NTC-10
AC134878.2,NTC-10
AC138393.1,NTC-10
AC138409.2,NTC-10
AC139256.1,NTC-10
AC139769.1,NTC-10
AC141586.1,NTC-10
AC239868.1,NTC-10
AC240274.1,NTC-10
AC242376.2,NTC-10
AC244636.2,NTC-10
AC244669.1,NTC-10
AC245060.4,NTC-10
AC245297.1,NTC-10
ACAA1,NTC-10
ACAA2,NTC-10
ACACA,NTC-10
ACAD10,NTC-10
ACAD8,NTC-10
ACAD9,NTC-10
ACADM,NTC-10
ACADSB,NTC-10
ACADS,NTC-10
ACADVL,NTC-10
ACAP2,NTC-10
ACAP3,NTC-10
ACAT1,NTC-10
ACAT2,NTC-10
ACBD3,NTC-10
ACBD5,NTC-10
ACBD6,NTC-10
ACCS,NTC-10
ACD,NTC-10
ACER3,NTC-10
ACHE,NTC-10
ACIN1,NTC-10
ACLY,NTC-10
ACO1,NTC-10
ACO2,NTC-10
ACOT11,NTC-10
ACOT13,NTC-10
ACOT7,NTC-10
ACOT8,NTC-10
ACOT9,NTC-10
ACOX1,NTC-10
ACOX3,NTC-10
ACP1,NTC-10
ACP2,NTC-10
ACP5,NTC-10
