Gene,gRNA
GSPT2,NTC-10
GSR,NTC-10
GSS,NTC-10
GSTCD,NTC-10
GSTK1,NTC-10
GSTM2,NTC-10
GSTM3,NTC-10
GSTM4,NTC-10
GSTO1,NTC-10
GSTO2,NTC-10
GSTP1,NTC-10
GSTZ1,NTC-10
GTDC1,NTC-10
GTF2A1,NTC-10
GTF2A2,NTC-10
GTF2B,NTC-10
GTF2E1,NTC-10
GTF2E2,NTC-10
GTF2F1,NTC-10
GTF2F2,NTC-10
GTF2H1,NTC-10
GTF2H2C,NTC-10
GTF2H2,NTC-10
GTF2H3,NTC-10
GTF2H5,NTC-10
GTF2I,NTC-10
GTF2IP12,NTC-10
GTF2IP20,NTC-10
GTF2IRD1,NTC-10
GTF2IRD2,NTC-10
GTF3A,NTC-10
GTF3C1,NTC-10
GTF3C2,NTC-10
GTF3C3,NTC-10
GTF3C4,NTC-10
GTF3C5,NTC-10
GTF3C6,NTC-10
GTPBP10,NTC-10
GTPBP1,NTC-10
GTPBP2,NTC-10
GTPBP3,NTC-10
GTPBP4,NTC-10
GTPBP6,NTC-10
GTPBP8,NTC-10
GTSE1,NTC-10
GUCD1,NTC-10
GUF1,NTC-10
GUK1,NTC-10
GULP1,NTC-10
GUSB,NTC-10
GUSBP1,NTC-10
GUSBP2,NTC-10
GUSBP3,NTC-10
GXYLT1,NTC-10
GXYLT2,NTC-10
GYG1,NTC-10
GYPA,NTC-10
GYPB,NTC-10
GYPC,NTC-10
GYPE,NTC-10
GYS1,NTC-10
GZF1,NTC-10
H1FX,NTC-10
H2AFV,NTC-10
H2AFX,NTC-10
H2AFY,NTC-10
H2AFZ,NTC-10
H3F3B,NTC-10
H6PD,NTC-10
HABP4,NTC-10
HACD1,NTC-10
HACD3,NTC-10
HACE1,NTC-10
HACL1,NTC-10
HADHA,NTC-10
HADHB,NTC-10
HADH,NTC-10
HAGHL,NTC-10
HAGH,NTC-10
HAMP,NTC-10
HAND2,NTC-10
HAPLN2,NTC-10
HARBI1,NTC-10
HARS2,NTC-10
HARS,NTC-10
HASPIN,NTC-10
HAT1,NTC-10
HAUS1,NTC-10
HAUS2,NTC-10
HAUS3,NTC-10
HAUS4,NTC-10
HAUS5,NTC-10
HAUS6,NTC-10
HAUS8,NTC-10
HAX1,NTC-10
HBA1,NTC-10
HBA2,NTC-10
HBBP1,NTC-10
HBD,NTC-10
HBE1,NTC-10
HBG1,NTC-10
HBG2,NTC-10
HBP1,NTC-10
HBQ1,NTC-10
HBZ,NTC-10
HCCS,NTC-10
HCFC1,NTC-10
HCFC1R1,NTC-10
HCLS1,NTC-10
HCN3,NTC-10
HDAC10,NTC-10
HDAC11,NTC-10
HDAC1,NTC-10
HDAC2,NTC-10
HDAC3,NTC-10
HDAC4,NTC-10
HDAC5,NTC-10
HDAC6,NTC-10
HDAC7,NTC-10
HDAC8,NTC-10
HDDC2,NTC-10
HDDC3,NTC-10
HDGFL2,NTC-10
HDGFL3,NTC-10
HDGF,NTC-10
HDHD2,NTC-10
HDHD3,NTC-10
HDHD5,NTC-10
HDLBP,NTC-10
HEATR1,NTC-10
HEATR3,NTC-10
HEATR5A,NTC-10
HEATR5B,NTC-10
HEATR6,NTC-10
HEBP1,NTC-10
HEBP2,NTC-10
HECTD1,NTC-10
HECTD2,NTC-10
HECTD3,NTC-10
HECTD4,NTC-10
HELB,NTC-10
HELLS,NTC-10
HELQ,NTC-10
HELZ2,NTC-10
HELZ,NTC-10
HEMGN,NTC-10
HEMK1,NTC-10
HEPACAM2,NTC-10
HEPACAM,NTC-10
HEPH,NTC-10
HERC1,NTC-10
HERC2,NTC-10
HERC2P2,NTC-10
HERC2P3,NTC-10
HERC2P9,NTC-10
HERC4,NTC-10
HERPUD1,NTC-10
HERPUD2,NTC-10
HES1,NTC-10
HES4,NTC-10
HES6,NTC-10
HEXA,NTC-10
HEXB,NTC-10
HEXD,NTC-10
HEXIM1,NTC-10
HEXIM2,NTC-10
HEY1,NTC-10
HGH1,NTC-10
HGSNAT,NTC-10
HGS,NTC-10
HHEX,NTC-10
HHLA1,NTC-10
HHLA3,NTC-10
HIBADH,NTC-10
HIBCH,NTC-10
HIC2,NTC-10
HIF1AN,NTC-10
HIF1A,NTC-10
HIGD1A,NTC-10
HIGD2A,NTC-10
HIKESHI,NTC-10
HILPDA,NTC-10
HINFP,NTC-10
HINT1,NTC-10
HINT2,NTC-10
HINT3,NTC-10
HIP1,NTC-10
HIP1R,NTC-10
HIPK1,NTC-10
HIPK2,NTC-10
HIPK3,NTC-10
HIRA,NTC-10
HIRIP3,NTC-10
HIST1H1B,NTC-10
HIST1H1C,NTC-10
HIST1H1D,NTC-10
HIST1H1E,NTC-10
HIST1H2AB,NTC-10
HIST1H2AC,NTC-10
HIST1H2AE,NTC-10
HIST1H2AG,NTC-10
HIST1H2AH,NTC-10
HIST1H2AI,NTC-10
HIST1H2AL,NTC-10
HIST1H2BC,NTC-10
HIST1H2BD,NTC-10
HIST1H2BF,NTC-10
HIST1H2BG,NTC-10
HIST1H2BH,NTC-10
HIST1H2BJ,NTC-10
HIST1H2BK,NTC-10
HIST1H2BL,NTC-10
HIST1H2BN,NTC-10
HIST1H2BO,NTC-10
HIST1H3B,NTC-10
HIST1H3H,NTC-10
HIST1H4B,NTC-10
HIST1H4C,NTC-10
HIST1H4E,NTC-10
HIST1H4H,NTC-10
HIST1H4I,NTC-10
HIST2H2AB,NTC-10
HIST2H2AC,NTC-10
HIST2H2BE,NTC-10
HIST3H2A,NTC-10
HIVEP1,NTC-10
HJURP,NTC-10
HK1,NTC-10
HK2,NTC-10
HLA-E,NTC-10
HLCS,NTC-10
HLTF,NTC-10
HM13,NTC-10
HMBOX1,NTC-10
HMBS,NTC-10
HMCES,NTC-10
HMCN1,NTC-10
HMG20A,NTC-10
HMG20B,NTC-10
HMGA1,NTC-10
HMGB1,NTC-10
HMGB2,NTC-10
HMGB3,NTC-10
HMGCL,NTC-10
HMGCR,NTC-10
HMGCS1,NTC-10
HMGN1,NTC-10
HMGN2,NTC-10
HMGN3,NTC-10
HMGN4,NTC-10
HMGN5,NTC-10
HMGXB3,NTC-10
HMGXB4,NTC-10
HMMR,NTC-10
HMOX2,NTC-10
HMSD,NTC-10
HMX3,NTC-10
HNRNPA0,NTC-10
HNRNPA1,NTC-10
HNRNPA1P54,NTC-10
HNRNPA2B1,NTC-10
HNRNPA3,NTC-10
HNRNPAB,NTC-10
HNRNPC,NTC-10
HNRNPDL,NTC-10
HNRNPD,NTC-10
HNRNPF,NTC-10
HNRNPH1,NTC-10
HNRNPH2,NTC-10
HNRNPH3,NTC-10
HNRNPK,NTC-10
HNRNPLL,NTC-10
HNRNPL,NTC-10
HNRNPM,NTC-10
HNRNPR,NTC-10
HNRNPUL1,NTC-10
HNRNPUL2,NTC-10
HNRNPU,NTC-10
HOMER1,NTC-10
HOMEZ,NTC-10
HOOK3,NTC-10
HOXB2,NTC-10
HOXB3,NTC-10
HOXB4,NTC-10
HOXB6,NTC-10
HOXB7,NTC-10
HOXB8,NTC-10
HOXB9,NTC-10
HOXC6,NTC-10
HOXC8,NTC-10
HOXC9,NTC-10
HP1BP3,NTC-10
HPCAL1,NTC-10
HPF1,NTC-10
HPRT1,NTC-10
HPS1,NTC-10
HPS3,NTC-10
HPS4,NTC-10
HPS5,NTC-10
HPS6,NTC-10
HRASLS,NTC-10
HRAS,NTC-10
HRC,NTC-10
HS1BP3,NTC-10
HS2ST1,NTC-10
HS3ST3A1,NTC-10
HS3ST3B1,NTC-10
HSBP1,NTC-10
HSCB,NTC-10
HSD11B1L,NTC-10
HSD17B10,NTC-10
HSD17B11,NTC-10
HSD17B12,NTC-10
HSD17B1,NTC-10
HSD17B4,NTC-10
HSD17B7,NTC-10
HSD17B8,NTC-10
HSD3B7,NTC-10
HSDL1,NTC-10
HSDL2,NTC-10
HSF1,NTC-10
HSF2,NTC-10
HSF4,NTC-10
HSP90AA1,NTC-10
HSP90AB1,NTC-10
HSP90AB2P,NTC-10
HSP90B1,NTC-10
HSPA13,NTC-10
HSPA14.1,NTC-10
HSPA14,NTC-10
HSPA1A,NTC-10
HSPA1B,NTC-10
HSPA4L,NTC-10
HSPA4,NTC-10
HSPA5,NTC-10
HSPA8,NTC-10
HSPA9,NTC-10
HSPB11,NTC-10
HSPB1,NTC-10
HSPBP1,NTC-10
HSPD1,NTC-10
HSPE1,NTC-10
HSPG2,NTC-10
HSPH1,NTC-10
HTATIP2,NTC-10
HTATSF1,NTC-10
HTRA2,NTC-10
HTT,NTC-10
HUS1,NTC-10
HUWE1,NTC-10
HYAL3,NTC-10
HYKK,NTC-10
HYLS1,NTC-10
HYOU1,NTC-10
HYPK,NTC-10
IARS2,NTC-10
IARS,NTC-10
IBA57,NTC-10
IBTK,NTC-10
ICA1,NTC-10
ICAM1,NTC-10
ICAM2,NTC-10
ICAM3,NTC-10
ICAM4,NTC-10
ICAM5,NTC-10
ICE1,NTC-10
ICE2,NTC-10
ICK,NTC-10
ICMT,NTC-10
ID1,NTC-10
ID2,NTC-10
ID3,NTC-10
IDE,NTC-10
IDH1,NTC-10
IDH2,NTC-10
IDH3A,NTC-10
IDH3B,NTC-10
IDH3G,NTC-10
IDI1,NTC-10
IDS,NTC-10
IER2,NTC-10
IER3IP1,NTC-10
IER3,NTC-10
IER5,NTC-10
IFI16,NTC-10
IFI27L1,NTC-10
IFI27L2,NTC-10
IFI27,NTC-10
IFI35,NTC-10
IFI6,NTC-10
IFIT3,NTC-10
IFITM1,NTC-10
IFITM2,NTC-10
IFITM3,NTC-10
IFNAR1,NTC-10
IFNAR2,NTC-10
IFNGR2,NTC-10
IFRD1,NTC-10
IFRD2,NTC-10
IFT122,NTC-10
IFT172,NTC-10
IFT20,NTC-10
IFT22,NTC-10
IFT43,NTC-10
IFT46,NTC-10
IFT52,NTC-10
IFT57,NTC-10
IFT74,NTC-10
IFT80,NTC-10
IFT81,NTC-10
IFT88,NTC-10
IGBP1,NTC-10
IGF1,NTC-10
IGF1R,NTC-10
IGF2BP1,NTC-10
IGF2BP2,NTC-10
IGF2BP3,NTC-10
IGF2R,NTC-10
IGFBP4,NTC-10
IGFBP6,NTC-10
IGHMBP2,NTC-10
IGHVII-44-2,NTC-10
IGSF1,NTC-10
IGSF3,NTC-10
IGSF8,NTC-10
IKBIP,NTC-10
IKBKB,NTC-10
IKBKE,NTC-10
IKBKG,NTC-10
IK,NTC-10
IKZF1,NTC-10
IKZF3,NTC-10
IKZF4,NTC-10
IKZF5,NTC-10
IL10RA,NTC-10
IL13RA1,NTC-10
IL15,NTC-10
IL15RA,NTC-10
IL16,NTC-10
IL17RA,NTC-10
IL17RC,NTC-10
IL18,NTC-10
IL1R1,NTC-10
IL20RB,NTC-10
IL21R,NTC-10
IL23R,NTC-10
IL27RA,NTC-10
IL6ST,NTC-10
ILF2,NTC-10
ILF3,NTC-10
ILKAP,NTC-10
ILK,NTC-10
ILVBL,NTC-10
IMMP1L,NTC-10
IMMP2L,NTC-10
IMMT,NTC-10
IMP3,NTC-10
IMP4,NTC-10
IMPA1,NTC-10
IMPA2,NTC-10
IMPACT,NTC-10
IMPAD1,NTC-10
IMPDH1,NTC-10
IMPDH2,NTC-10
INAFM1,NTC-10
INAFM2,NTC-10
INCENP,NTC-10
INF2,NTC-10
ING1,NTC-10
ING2,NTC-10
ING3,NTC-10
ING4,NTC-10
ING5,NTC-10
INHA,NTC-10
INIP,NTC-10
INKA1,NTC-10
INO80C,NTC-10
INO80D,NTC-10
INO80E,NTC-10
INO80,NTC-10
INPP4A,NTC-10
INPP5B,NTC-10
INPP5F,NTC-10
INPP5K,NTC-10
INPPL1,NTC-10
INSIG1,NTC-10
INSIG2,NTC-10
INSR,NTC-10
INTS10,NTC-10
INTS11,NTC-10
INTS12,NTC-10
INTS13,NTC-10
INTS14,NTC-10
INTS1,NTC-10
INTS2,NTC-10
INTS3,NTC-10
INTS4,NTC-10
INTS5,NTC-10
INTS6L,NTC-10
INTS6,NTC-10
INTS7,NTC-10
INTS8,NTC-10
INTS9,NTC-10
INTU,NTC-10
INVS,NTC-10
IP6K1,NTC-10
IP6K2,NTC-10
IPMK,NTC-10
IPO11,NTC-10
IPO13,NTC-10
IPO5,NTC-10
IPO7,NTC-10
IPO8,NTC-10
IPO9,NTC-10
IPPK,NTC-10
IPP,NTC-10
IQCB1,NTC-10
IQCC,NTC-10
IQCE,NTC-10
IQCG,NTC-10
IQCH,NTC-10
IQCK,NTC-10
IQGAP1,NTC-10
IQGAP2,NTC-10
IQGAP3,NTC-10
IQSEC1,NTC-10
IQSEC2,NTC-10
IQUB,NTC-10
IRAK1BP1,NTC-10
IRAK1,NTC-10
IRAK4,NTC-10
IREB2,NTC-10
IRF1,NTC-10
IRF2BP1,NTC-10
IRF2BP2,NTC-10
IRF2BPL,NTC-10
IRF2,NTC-10
IRF3,NTC-10
IRF7,NTC-10
IRGQ,NTC-10
IRS2,NTC-10
ISCA1,NTC-10
ISCA2,NTC-10
ISCU,NTC-10
ISG15,NTC-10
ISG20L2,NTC-10
ISG20,NTC-10
ISL2,NTC-10
ISOC1,NTC-10
ISOC2,NTC-10
ISPD,NTC-10
IST1,NTC-10
ISY1,NTC-10
ISYNA1,NTC-10
ITCH,NTC-10
ITFG1,NTC-10
ITFG2,NTC-10
ITGA5,NTC-10
ITGAE,NTC-10
ITGAV,NTC-10
ITGB1BP1,NTC-10
ITGB1,NTC-10
ITGB3BP,NTC-10
ITGB5,NTC-10
ITGBL1,NTC-10
ITM2A,NTC-10
ITM2B,NTC-10
ITM2C,NTC-10
ITPA,NTC-10
ITPK1,NTC-10
ITPKA,NTC-10
ITPKC,NTC-10
ITPR1,NTC-10
ITPR2,NTC-10
ITPR3,NTC-10
ITPRID2,NTC-10
ITPRIPL1,NTC-10
ITPRIP,NTC-10
ITSN1,NTC-10
ITSN2,NTC-10
IVD,NTC-10
IVNS1ABP,NTC-10
IWS1,NTC-10
JADE1,NTC-10
JADE2,NTC-10
JADE3,NTC-10
JAG2,NTC-10
JAGN1,NTC-10
JAK1,NTC-10
JAK2,NTC-10
JARID2,NTC-10
JKAMP,NTC-10
JMJD1C,NTC-10
JMJD4,NTC-10
JMJD6,NTC-10
JMJD8,NTC-10
JMY,NTC-10
JOSD1,NTC-10
JOSD2,NTC-10
JPT1,NTC-10
JPT2,NTC-10
JRKL,NTC-10
JRK,NTC-10
JTB,NTC-10
JUND,NTC-10
JUN,NTC-10
JUP,NTC-10
KALRN,NTC-10
KANK1,NTC-10
KANK2,NTC-10
KANSL1L,NTC-10
KANSL1,NTC-10
KANSL2,NTC-10
KANSL3,NTC-10
KANTR,NTC-10
KARS,NTC-10
KAT14,NTC-10
KAT2A,NTC-10
KAT2B,NTC-10
KAT5,NTC-10
KAT6A,NTC-10
KAT6B,NTC-10
KAT7,NTC-10
KAT8,NTC-10
KATNA1,NTC-10
KATNAL1,NTC-10
KATNB1,NTC-10
KATNBL1,NTC-10
KAZALD1,NTC-10
KAZN,NTC-10
KBTBD2,NTC-10
KBTBD3,NTC-10
KBTBD4,NTC-10
KBTBD6,NTC-10
KBTBD7,NTC-10
KBTBD8,NTC-10
KCMF1,NTC-10
KCNAB2,NTC-10
KCNC3,NTC-10
KCNE3,NTC-10
KCNE4,NTC-10
KCNH2,NTC-10
KCNJ14,NTC-10
KCNJ15,NTC-10
KCNJ16,NTC-10
KCNJ6,NTC-10
KCNK1,NTC-10
KCNK5,NTC-10
KCNK6,NTC-10
KCNN2,NTC-10
KCNN4,NTC-10
KCTD10,NTC-10
KCTD13,NTC-10
KCTD15,NTC-10
KCTD18,NTC-10
KCTD20,NTC-10
KCTD2,NTC-10
KCTD3,NTC-10
KCTD5,NTC-10
KCTD6,NTC-10
KCTD7,NTC-10
KCTD9,NTC-10
KDELC1,NTC-10
KDELC2,NTC-10
KDELR2,NTC-10
KDELR3,NTC-10
KDM1A,NTC-10
KDM1B,NTC-10
KDM2A,NTC-10
KDM2B,NTC-10
KDM3A,NTC-10
KDM3B,NTC-10
KDM4A,NTC-10
KDM4B,NTC-10
KDM4C,NTC-10
KDM5A,NTC-10
KDM5B,NTC-10
KDM5C,NTC-10
KDM6A,NTC-10
KDM6B,NTC-10
KDM7A,NTC-10
KDSR,NTC-10
KEAP1,NTC-10
KEL,NTC-10
KHDC1,NTC-10
KHDC4,NTC-10
KHDRBS1,NTC-10
KHK,NTC-10
KHNYN,NTC-10
KHSRP,NTC-10
KIAA0040,NTC-10
KIAA0100,NTC-10
KIAA0232,NTC-10
KIAA0319L,NTC-10
KIAA0355,NTC-10
KIAA0391,NTC-10
KIAA0513,NTC-10
KIAA0556,NTC-10
KIAA0586,NTC-10
KIAA0753,NTC-10
KIAA0895L,NTC-10
KIAA1109,NTC-10
KIAA1143,NTC-10
KIAA1191,NTC-10
KIAA1257,NTC-10
KIAA1324L,NTC-10
KIAA1324,NTC-10
KIAA1328,NTC-10
KIAA1522,NTC-10
KIAA1586,NTC-10
KIAA1841,NTC-10
KIAA1958,NTC-10
KIAA2012,NTC-10
KIAA2013,NTC-10
KIAA2026,NTC-10
KIDINS220,NTC-10
KIF11,NTC-10
KIF13A,NTC-10
KIF13B,NTC-10
KIF14,NTC-10
KIF15,NTC-10
KIF16B,NTC-10
KIF18A,NTC-10
KIF18B,NTC-10
KIF1B,NTC-10
KIF1BP,NTC-10
KIF1C,NTC-10
KIF20A,NTC-10
KIF20B,NTC-10
KIF21A,NTC-10
KIF22,NTC-10
KIF23,NTC-10
KIF24,NTC-10
KIF2A,NTC-10
KIF2C,NTC-10
KIF3A,NTC-10
KIF3B,NTC-10
KIF4A,NTC-10
KIF5A,NTC-10
KIF5B,NTC-10
KIF9,NTC-10
KIFAP3,NTC-10
KIFC1,NTC-10
KIFC2,NTC-10
KIFC3,NTC-10
KIN,NTC-10
KIRREL3,NTC-10
KISS1R,NTC-10
KIZ,NTC-10
KLC1,NTC-10
KLC2,NTC-10
KLC3,NTC-10
KLC4,NTC-10
KLF10,NTC-10
KLF11,NTC-10
KLF13,NTC-10
KLF15,NTC-10
KLF16,NTC-10
KLF1,NTC-10
KLF3,NTC-10
KLF6,NTC-10
KLF9,NTC-10
KLHDC10,NTC-10
KLHDC2,NTC-10
KLHDC3,NTC-10
KLHDC4,NTC-10
KLHDC8B,NTC-10
KLHL11,NTC-10
KLHL12,NTC-10
KLHL13,NTC-10
KLHL15,NTC-10
KLHL17,NTC-10
KLHL18,NTC-10
KLHL20,NTC-10
KLHL21,NTC-10
KLHL22,NTC-10
KLHL23,NTC-10
KLHL24,NTC-10
KLHL26,NTC-10
KLHL28,NTC-10
KLHL2,NTC-10
KLHL36,NTC-10
KLHL42,NTC-10
KLHL5,NTC-10
KLHL7,NTC-10
KLHL8,NTC-10
KLK1,NTC-10
KLLN,NTC-10
KLRD1,NTC-10
KLRG1,NTC-10
KMT2A,NTC-10
KMT2B,NTC-10
KMT2C,NTC-10
KMT2D,NTC-10
KMT2E,NTC-10
KMT5A,NTC-10
KMT5B,NTC-10
KMT5C,NTC-10
KNL1,NTC-10
KNOP1,NTC-10
KNSTRN,NTC-10
KNTC1,NTC-10
KPNA1,NTC-10
KPNA2,NTC-10
KPNA3,NTC-10
KPNA4,NTC-10
KPNA5,NTC-10
KPNA6,NTC-10
KPNB1,NTC-10
KPTN,NTC-10
KRAS,NTC-10
KRBA1,NTC-10
KRBOX4,NTC-10
KRCC1,NTC-10
KREMEN1,NTC-10
KRI1,NTC-10
KRIT1,NTC-10
KRR1,NTC-10
KRT10,NTC-10
KRT18,NTC-10
KRT19,NTC-10
KRT8,NTC-10
KRTAP19-1,NTC-10
KRTAP19-5,NTC-10
KRTCAP2,NTC-10
KSR1,NTC-10
KTI12,NTC-10
KTN1,NTC-10
KXD1,NTC-10
KYAT3,NTC-10
KYNU,NTC-10
L2HGDH,NTC-10
L3HYPDH,NTC-10
L3MBTL1,NTC-10
L3MBTL2,NTC-10
L3MBTL3,NTC-10
LACTB2,NTC-10
LACTB,NTC-10
LAGE3,NTC-10
LAMA5,NTC-10
LAMB2,NTC-10
LAMP1,NTC-10
LAMP2,NTC-10
LAMTOR1,NTC-10
LAMTOR2,NTC-10
LAMTOR3,NTC-10
LAMTOR4,NTC-10
LAMTOR5,NTC-10
LANCL1,NTC-10
LANCL2,NTC-10
LANCL3,NTC-10
LAP3,NTC-10
LAPTM4A,NTC-10
LAPTM4B,NTC-10
LAPTM5,NTC-10
LARGE2,NTC-10
LARP1B,NTC-10
LARP1,NTC-10
LARP4B,NTC-10
LARP4,NTC-10
LARP7,NTC-10
LARS2,NTC-10
LARS,NTC-10
LAS1L,NTC-10
LASP1,NTC-10
LATS1,NTC-10
LBH,NTC-10
LBR,NTC-10
LBX2,NTC-10
LCA5L,NTC-10
LCA5,NTC-10
LCLAT1,NTC-10
LCMT1,NTC-10
LCMT2,NTC-10
LCORL,NTC-10
LCOR,NTC-10
LCP1,NTC-10
LDAH,NTC-10
LDB1,NTC-10
LDHA,NTC-10
LDHB,NTC-10
LDLRAD3,NTC-10
LDLRAP1,NTC-10
LDLR,NTC-10
LEF1,NTC-10
LEMD2,NTC-10
LEMD3,NTC-10
LENG1,NTC-10
LENG8,NTC-10
LEO1,NTC-10
LEPR,NTC-10
LEPROTL1,NTC-10
LEPROT,NTC-10
LETM1,NTC-10
LETM2,NTC-10
LETMD1,NTC-10
LGALS1,NTC-10
LGALS3BP,NTC-10
LGALS3,NTC-10
LGALS8,NTC-10
LGR4,NTC-10
LHFPL2,NTC-10
LHFPL5,NTC-10
LHPP,NTC-10
LHX6,NTC-10
LIAS,NTC-10
LIG1,NTC-10
LIG3,NTC-10
LIG4,NTC-10
LIMA1,NTC-10
LIMD1,NTC-10
LIMK1,NTC-10
LIMK2,NTC-10
LIMS1,NTC-10
LIN28B,NTC-10
LIN37,NTC-10
LIN52,NTC-10
LIN54,NTC-10
LIN7B,NTC-10
LIN7C,NTC-10
LIN9,NTC-10
LINC00431,NTC-10
LINC00674,NTC-10
LINC00680,NTC-10
LINC00869,NTC-10
LINC00888,NTC-10
LINC01399,NTC-10
LINC01667,NTC-10
LINC01881,NTC-10
LINC02210,NTC-10
LINS1,NTC-10
LIPG,NTC-10
LIPT1,NTC-10
LIPT2,NTC-10
LITAF,NTC-10
LIX1L,NTC-10
LLGL1,NTC-10
LLGL2,NTC-10
LLPH,NTC-10
LMAN1,NTC-10
LMAN2L,NTC-10
LMAN2,NTC-10
LMBR1L,NTC-10
LMBR1,NTC-10
LMBRD1,NTC-10
LMBRD2,NTC-10
LMF2,NTC-10
LMLN,NTC-10
LMNA,NTC-10
LMNB1,NTC-10
LMNB2,NTC-10
LMO2,NTC-10
LMO4,NTC-10
LMTK2,NTC-10
LNPEP,NTC-10
LNPK,NTC-10
LNX1,NTC-10
LNX2,NTC-10
LONP1,NTC-10
LONP2,NTC-10
LONRF1,NTC-10
LONRF2,NTC-10
LONRF3,NTC-10
LPCAT1,NTC-10
LPCAT2,NTC-10
LPCAT3,NTC-10
LPCAT4,NTC-10
LPGAT1,NTC-10
LPIN1,NTC-10
LPIN2,NTC-10
LPP,NTC-10
LPXN,NTC-10
LRBA,NTC-10
LRCH1,NTC-10
LRCH3,NTC-10
LRCH4,NTC-10
LRFN4,NTC-10
LRG1,NTC-10
LRIF1,NTC-10
LRIG2,NTC-10
LRP10,NTC-10
LRP12,NTC-10
LRP6,NTC-10
LRP8,NTC-10
LRPAP1,NTC-10
LRPPRC,NTC-10
LRR1,NTC-10
LRRC14,NTC-10
LRRC23,NTC-10
LRRC27,NTC-10
LRRC28,NTC-10
LRRC37A2,NTC-10
LRRC37B,NTC-10
LRRC37BP1,NTC-10
LRRC40,NTC-10
LRRC41,NTC-10
LRRC42,NTC-10
LRRC45,NTC-10
LRRC47,NTC-10
LRRC4B,NTC-10
LRRC57,NTC-10
LRRC58,NTC-10
LRRC59,NTC-10
LRRC61,NTC-10
LRRC69,NTC-10
LRRC75A,NTC-10
LRRC7,NTC-10
LRRC8A,NTC-10
LRRC8B,NTC-10
LRRC8D,NTC-10
LRRC8E,NTC-10
LRRCC1,NTC-10
LRRFIP1,NTC-10
LRRFIP1P1,NTC-10
LRRFIP2,NTC-10
LRRIQ3,NTC-10
LRRK1,NTC-10
LRRTM4,NTC-10
LRSAM1,NTC-10
LRWD1,NTC-10
LSG1,NTC-10
LSM10,NTC-10
LSM11,NTC-10
LSM12,NTC-10
LSM14A,NTC-10
LSM14B,NTC-10
LSM1,NTC-10
LSM2,NTC-10
LSM3,NTC-10
LSM4,NTC-10
LSM5,NTC-10
LSM6,NTC-10
LSM8,NTC-10
LSP1,NTC-10
LSP1P4,NTC-10
LSR,NTC-10
LSS,NTC-10
LTA4H,NTC-10
LTB4R,NTC-10
LTBP1,NTC-10
LTBP3,NTC-10
LTBP4,NTC-10
LTBR,NTC-10
LTN1,NTC-10
LTO1,NTC-10
LTV1,NTC-10
LUC7L2,NTC-10
LUC7L3,NTC-10
LUC7L,NTC-10
LURAP1,NTC-10
LUZP1,NTC-10
LY6E,NTC-10
LY96,NTC-10
LYAR,NTC-10
LYL1,NTC-10
LYN,NTC-10
LYPD9P,NTC-10
LYPLA1,NTC-10
LYPLA2,NTC-10
LYPLAL1,NTC-10
LYRM1,NTC-10
LYRM2,NTC-10
LYRM4,NTC-10
LYRM7,NTC-10
LYSMD1,NTC-10
LYSMD2,NTC-10
LYSMD3,NTC-10
LYST,NTC-10
LYZ,NTC-10
LZIC,NTC-10
LZTFL1,NTC-10
LZTR1,NTC-10
LZTS2,NTC-10
M6PR,NTC-10
MACC1,NTC-10
MACF1,NTC-10
MACO1,NTC-10
MACROD1,NTC-10
MAD2L1BP,NTC-10
MAD2L1,NTC-10
MAD2L2,NTC-10
MADD,NTC-10
MAEA,NTC-10
MAF1,NTC-10
MAFF,NTC-10
MAFG,NTC-10
MAGEA12,NTC-10
MAGEA1,NTC-10
MAGEA2B,NTC-10
MAGEA3,NTC-10
MAGEA6,NTC-10
MAGEB1,NTC-10
MAGEB2,NTC-10
MAGEC1,NTC-10
MAGEC2,NTC-10
MAGED1,NTC-10
MAGED2,NTC-10
MAGEF1,NTC-10
MAGEH1,NTC-10
MAGI1,NTC-10
MAGI3,NTC-10
MAG,NTC-10
MAGOHB,NTC-10
MAGOH,NTC-10
MAGT1,NTC-10
MAIP1,NTC-10
MAK16,NTC-10
MALSU1,NTC-10
MALT1,NTC-10
MAML1,NTC-10
MAML2,NTC-10
MAMSTR,NTC-10
MAN1A1,NTC-10
MAN1A2,NTC-10
MAN1B1,NTC-10
MAN2A1,NTC-10
MAN2A2,NTC-10
MAN2B1,NTC-10
MAN2B2,NTC-10
MAN2C1,NTC-10
MANBAL,NTC-10
MANBA,NTC-10
MANEA,NTC-10
MANF,NTC-10
MANSC1,NTC-10
MAP1A,NTC-10
MAP1B,NTC-10
MAP1LC3B,NTC-10
MAP1S,NTC-10
MAP2K1,NTC-10
MAP2K2,NTC-10
MAP2K3,NTC-10
MAP2K4,NTC-10
MAP2K5,NTC-10
MAP2K7,NTC-10
MAP3K11,NTC-10
MAP3K13,NTC-10
MAP3K14,NTC-10
MAP3K15,NTC-10
MAP3K1,NTC-10
MAP3K20,NTC-10
MAP3K2,NTC-10
MAP3K3,NTC-10
MAP3K4,NTC-10
MAP3K7,NTC-10
MAP3K8,NTC-10
MAP4K2,NTC-10
MAP4K3,NTC-10
MAP4K4,NTC-10
MAP4K5,NTC-10
MAP4,NTC-10
MAP7D1,NTC-10
MAP7D3,NTC-10
MAP7,NTC-10
MAPK10,NTC-10
MAPK12,NTC-10
MAPK14,NTC-10
MAPK1IP1L,NTC-10
MAPK1,NTC-10
MAPK3,NTC-10
MAPK6,NTC-10
