gene_id,gRNA_group,pair_type
AAMP,NTC-10,negative_control
AAR2,NTC-10,negative_control
AARS2,NTC-10,negative_control
AARSD1,NTC-10,negative_control
AARS,NTC-10,negative_control
AASDH,NTC-10,negative_control
AASDHPPT,NTC-10,negative_control
AATF,NTC-10,negative_control
ABCA17P,NTC-10,negative_control
ABCA2,NTC-10,negative_control
ABCA3,NTC-10,negative_control
ABCA5,NTC-10,negative_control
ABCA7,NTC-10,negative_control
ABCA8,NTC-10,negative_control
ABCB10,NTC-10,negative_control
ABCB1,NTC-10,negative_control
ABCB7,NTC-10,negative_control
ABCB8,NTC-10,negative_control
ABCB9,NTC-10,negative_control
ABCC10,NTC-10,negative_control
ABCC1,NTC-10,negative_control
ABCC4,NTC-10,negative_control
ABCC5,NTC-10,negative_control
ABCC9,NTC-10,negative_control
ABCD1,NTC-10,negative_control
ABCD3,NTC-10,negative_control
ABCD4,NTC-10,negative_control
ABCE1,NTC-10,negative_control
ABCF1,NTC-10,negative_control
ABCF2,NTC-10,negative_control
ABCF3,NTC-10,negative_control
ABHD10,NTC-10,negative_control
ABHD11,NTC-10,negative_control
ABHD12B,NTC-10,negative_control
ABHD12,NTC-10,negative_control
ABHD13,NTC-10,negative_control
ABHD14A,NTC-10,negative_control
ABHD14B,NTC-10,negative_control
ABHD16A,NTC-10,negative_control
ABHD17A,NTC-10,negative_control
ABHD17B,NTC-10,negative_control
ABHD18,NTC-10,negative_control
ABHD2,NTC-10,negative_control
ABHD3,NTC-10,negative_control
ABHD4,NTC-10,negative_control
ABHD5,NTC-10,negative_control
ABHD6,NTC-10,negative_control
ABHD8,NTC-10,negative_control
ABI1,NTC-10,negative_control
ABI2,NTC-10,negative_control
ABL1,NTC-10,negative_control
ABL2,NTC-10,negative_control
ABLIM1,NTC-10,negative_control
ABO,NTC-10,negative_control
ABRACL,NTC-10,negative_control
ABRAXAS1,NTC-10,negative_control
ABRAXAS2,NTC-10,negative_control
ABT1,NTC-10,negative_control
AC002472.2,NTC-10,negative_control
AC003665.1,NTC-10,negative_control
AC004475.1,NTC-10,negative_control
AC004556.1,NTC-10,negative_control
AC004967.1,NTC-10,negative_control
AC004980.1,NTC-10,negative_control
AC005726.1,NTC-10,negative_control
AC006001.3,NTC-10,negative_control
AC006453.2,NTC-10,negative_control
AC006509.1,NTC-10,negative_control
AC007326.4,NTC-10,negative_control
AC007950.1,NTC-10,negative_control
AC008026.1,NTC-10,negative_control
AC008755.1,NTC-10,negative_control
AC008770.4,NTC-10,negative_control
AC008825.2,NTC-10,negative_control
AC009053.1,NTC-10,negative_control
AC009299.1,NTC-10,negative_control
AC010186.2,NTC-10,negative_control
AC010319.1,NTC-10,negative_control
AC010343.1,NTC-10,negative_control
AC010618.1,NTC-10,negative_control
AC010761.1,NTC-10,negative_control
AC010970.1,NTC-10,negative_control
AC011043.1,NTC-10,negative_control
AC011462.1,NTC-10,negative_control
AC011481.1,NTC-10,negative_control
AC011529.1,NTC-10,negative_control
AC012435.1,NTC-10,negative_control
AC013394.1,NTC-10,negative_control
AC015802.6,NTC-10,negative_control
AC017083.3,NTC-10,negative_control
AC018709.1,NTC-10,negative_control
AC018755.3,NTC-10,negative_control
AC023794.4,NTC-10,negative_control
AC024592.3,NTC-10,negative_control
AC026412.1,NTC-10,negative_control
AC026470.1,NTC-10,negative_control
AC027559.1,NTC-10,negative_control
AC040162.1,NTC-10,negative_control
AC046144.1,NTC-10,negative_control
AC060764.1,NTC-10,negative_control
AC064862.1,NTC-10,negative_control
AC073107.1,NTC-10,negative_control
AC073111.5,NTC-10,negative_control
AC073349.2,NTC-10,negative_control
AC073585.1,NTC-10,negative_control
AC073869.1,NTC-10,negative_control
AC074143.1,NTC-10,negative_control
AC079880.1,NTC-10,negative_control
AC080038.1,NTC-10,negative_control
AC087289.1,NTC-10,negative_control
AC087633.2,NTC-10,negative_control
AC087721.2,NTC-10,negative_control
AC090502.4,NTC-10,negative_control
AC090517.4,NTC-10,negative_control
AC092070.2,NTC-10,negative_control
AC092338.1,NTC-10,negative_control
AC093323.1,NTC-10,negative_control
AC093752.1,NTC-10,negative_control
AC093827.5,NTC-10,negative_control
AC093909.1,NTC-10,negative_control
AC097374.1,NTC-10,negative_control
AC098934.1,NTC-10,negative_control
AC104389.4,NTC-10,negative_control
AC104389.5,NTC-10,negative_control
AC106795.1,NTC-10,negative_control
AC109635.4,NTC-10,negative_control
AC113398.1,NTC-10,negative_control
AC114267.1,NTC-10,negative_control
AC118549.1,NTC-10,negative_control
AC119751.3,NTC-10,negative_control
AC124319.1,NTC-10,negative_control
AC124864.2,NTC-10,negative_control
AC124944.3,NTC-10,negative_control
AC124947.2,NTC-10,negative_control
AC126177.6,NTC-10,negative_control
AC129492.1,NTC-10,negative_control
AC131206.1,NTC-10,negative_control
AC132008.2,NTC-10,negative_control
AC134878.2,NTC-10,negative_control
AC138393.1,NTC-10,negative_control
AC138409.2,NTC-10,negative_control
AC139256.1,NTC-10,negative_control
AC139769.1,NTC-10,negative_control
AC141586.1,NTC-10,negative_control
AC239868.1,NTC-10,negative_control
AC240274.1,NTC-10,negative_control
AC242376.2,NTC-10,negative_control
AC244636.2,NTC-10,negative_control
AC244669.1,NTC-10,negative_control
AC245060.4,NTC-10,negative_control
AC245297.1,NTC-10,negative_control
ACAA1,NTC-10,negative_control
ACAA2,NTC-10,negative_control
ACACA,NTC-10,negative_control
ACAD10,NTC-10,negative_control
ACAD8,NTC-10,negative_control
ACAD9,NTC-10,negative_control
ACADM,NTC-10,negative_control
ACADSB,NTC-10,negative_control
ACADS,NTC-10,negative_control
ACADVL,NTC-10,negative_control
ACAP2,NTC-10,negative_control
ACAP3,NTC-10,negative_control
ACAT1,NTC-10,negative_control
ACAT2,NTC-10,negative_control
ACBD3,NTC-10,negative_control
ACBD5,NTC-10,negative_control
ACBD6,NTC-10,negative_control
ACCS,NTC-10,negative_control
ACD,NTC-10,negative_control
ACER3,NTC-10,negative_control
ACHE,NTC-10,negative_control
ACIN1,NTC-10,negative_control
ACLY,NTC-10,negative_control
ACO1,NTC-10,negative_control
ACO2,NTC-10,negative_control
ACOT11,NTC-10,negative_control
ACOT13,NTC-10,negative_control
ACOT7,NTC-10,negative_control
ACOT8,NTC-10,negative_control
ACOT9,NTC-10,negative_control
ACOX1,NTC-10,negative_control
ACOX3,NTC-10,negative_control
ACP1,NTC-10,negative_control
ACP2,NTC-10,negative_control
ACP5,NTC-10,negative_control
ACRBP,NTC-10,negative_control
ACSBG1,NTC-10,negative_control
ACSF3,NTC-10,negative_control
ACSL1,NTC-10,negative_control
ACSL3,NTC-10,negative_control
ACSL4,NTC-10,negative_control
ACSL6,NTC-10,negative_control
ACSM3,NTC-10,negative_control
ACSS2,NTC-10,negative_control
ACTB,NTC-10,negative_control
ACTG1,NTC-10,negative_control
ACTL6A,NTC-10,negative_control
ACTN1,NTC-10,negative_control
ACTR10,NTC-10,negative_control
ACTR1A,NTC-10,negative_control
ACTR1B,NTC-10,negative_control
ACTR2,NTC-10,negative_control
ACTR3B,NTC-10,negative_control
ACTR3C,NTC-10,negative_control
ACTR3,NTC-10,negative_control
ACTR5,NTC-10,negative_control
ACTR6,NTC-10,negative_control
ACTR8,NTC-10,negative_control
ACVR1B,NTC-10,negative_control
ACVR1,NTC-10,negative_control
ACVR2B,NTC-10,negative_control
ACY1,NTC-10,negative_control
ACYP1,NTC-10,negative_control
ACYP2,NTC-10,negative_control
AD000864.1,NTC-10,negative_control
ADAL,NTC-10,negative_control
ADAM10,NTC-10,negative_control
ADAM15,NTC-10,negative_control
ADAM17,NTC-10,negative_control
ADAM19,NTC-10,negative_control
ADAM32,NTC-10,negative_control
ADAM3A,NTC-10,negative_control
ADAM9,NTC-10,negative_control
ADAMTS14,NTC-10,negative_control
ADAMTS3,NTC-10,negative_control
ADAMTS6,NTC-10,negative_control
ADAMTSL3,NTC-10,negative_control
ADAMTSL4,NTC-10,negative_control
ADAMTSL5,NTC-10,negative_control
ADA,NTC-10,negative_control
ADARB1,NTC-10,negative_control
ADAR,NTC-10,negative_control
ADAT1,NTC-10,negative_control
ADAT2,NTC-10,negative_control
ADCK1,NTC-10,negative_control
ADCK2,NTC-10,negative_control
ADCK5,NTC-10,negative_control
ADCY3,NTC-10,negative_control
ADCY7,NTC-10,negative_control
ADD1,NTC-10,negative_control
ADD2,NTC-10,negative_control
ADD3,NTC-10,negative_control
ADGRB3,NTC-10,negative_control
ADGRD1,NTC-10,negative_control
