gene_id,gRNA_group,pair_type
COMMD5,NTC-10,negative_control
COMMD6,NTC-10,negative_control
COMMD7,NTC-10,negative_control
COMMD8,NTC-10,negative_control
COMMD9,NTC-10,negative_control
COMTD1,NTC-10,negative_control
COMT,NTC-10,negative_control
COP1,NTC-10,negative_control
COPA,NTC-10,negative_control
COPB1,NTC-10,negative_control
COPB2,NTC-10,negative_control
COPE,NTC-10,negative_control
COPG1,NTC-10,negative_control
COPG2,NTC-10,negative_control
COPRS,NTC-10,negative_control
COPS2,NTC-10,negative_control
COPS3,NTC-10,negative_control
COPS4,NTC-10,negative_control
COPS5,NTC-10,negative_control
COPS6,NTC-10,negative_control
COPS7A,NTC-10,negative_control
COPS7B,NTC-10,negative_control
COPS8,NTC-10,negative_control
COPS9,NTC-10,negative_control
COPZ1,NTC-10,negative_control
COQ10A,NTC-10,negative_control
COQ10B,NTC-10,negative_control
COQ2,NTC-10,negative_control
COQ3,NTC-10,negative_control
COQ4,NTC-10,negative_control
COQ5,NTC-10,negative_control
COQ6,NTC-10,negative_control
COQ7,NTC-10,negative_control
COQ8A,NTC-10,negative_control
COQ8B,NTC-10,negative_control
COQ9,NTC-10,negative_control
CORO1B,NTC-10,negative_control
CORO1C,NTC-10,negative_control
CORO2A,NTC-10,negative_control
CORO7,NTC-10,negative_control
COTL1,NTC-10,negative_control
COX10,NTC-10,negative_control
COX11,NTC-10,negative_control
COX14,NTC-10,negative_control
COX15,NTC-10,negative_control
COX16,NTC-10,negative_control
COX17,NTC-10,negative_control
COX18,NTC-10,negative_control
COX19,NTC-10,negative_control
COX20,NTC-10,negative_control
COX4I1,NTC-10,negative_control
COX5A,NTC-10,negative_control
COX5B,NTC-10,negative_control
COX6A1,NTC-10,negative_control
COX6B1,NTC-10,negative_control
COX6C,NTC-10,negative_control
COX7A2L,NTC-10,negative_control
COX7A2,NTC-10,negative_control
COX7B,NTC-10,negative_control
COX7C,NTC-10,negative_control
COX8A,NTC-10,negative_control
CPAMD8,NTC-10,negative_control
CPD,NTC-10,negative_control
CPEB1,NTC-10,negative_control
CPEB4,NTC-10,negative_control
CPED1,NTC-10,negative_control
CPNE1,NTC-10,negative_control
CPNE2,NTC-10,negative_control
CPNE3,NTC-10,negative_control
CPNE7,NTC-10,negative_control
CPNE8,NTC-10,negative_control
CPOX,NTC-10,negative_control
CPPED1,NTC-10,negative_control
CPQ,NTC-10,negative_control
CPSF1,NTC-10,negative_control
CPSF2,NTC-10,negative_control
CPSF3,NTC-10,negative_control
CPSF4,NTC-10,negative_control
CPSF6,NTC-10,negative_control
CPSF7,NTC-10,negative_control
CPT1A,NTC-10,negative_control
CPT1C,NTC-10,negative_control
CPT2,NTC-10,negative_control
CPTP,NTC-10,negative_control
CR1L,NTC-10,negative_control
CR381653.2,NTC-10,negative_control
CR381670.1,NTC-10,negative_control
CR383656.13,NTC-10,negative_control
CR392039.5,NTC-10,negative_control
CRACR2A,NTC-10,negative_control
CRACR2B,NTC-10,negative_control
CRADD,NTC-10,negative_control
CRAMP1,NTC-10,negative_control
CRAT,NTC-10,negative_control
CRBN,NTC-10,negative_control
CRCP,NTC-10,negative_control
CREB1,NTC-10,negative_control
CREB3L1,NTC-10,negative_control
CREB3L2,NTC-10,negative_control
CREB3L4,NTC-10,negative_control
CREB3,NTC-10,negative_control
CREBBP,NTC-10,negative_control
CREBL2,NTC-10,negative_control
CREBRF,NTC-10,negative_control
CREBZF,NTC-10,negative_control
CREG1,NTC-10,negative_control
CRELD1,NTC-10,negative_control
CRELD2,NTC-10,negative_control
CREM,NTC-10,negative_control
CRIPT,NTC-10,negative_control
CRKL,NTC-10,negative_control
CRK,NTC-10,negative_control
CRLF3,NTC-10,negative_control
CRLS1,NTC-10,negative_control
CRNKL1,NTC-10,negative_control
CROCC,NTC-10,negative_control
CROCCP2,NTC-10,negative_control
CROT,NTC-10,negative_control
CRTAP,NTC-10,negative_control
CRTC1,NTC-10,negative_control
CRTC2,NTC-10,negative_control
CRTC3,NTC-10,negative_control
CRY1,NTC-10,negative_control
CRY2,NTC-10,negative_control
CRYAB,NTC-10,negative_control
CRYBB2P1,NTC-10,negative_control
CRYBG2,NTC-10,negative_control
CRYL1,NTC-10,negative_control
CRYM,NTC-10,negative_control
CRYZL1,NTC-10,negative_control
CRYZ,NTC-10,negative_control
CSAD,NTC-10,negative_control
CSAG1,NTC-10,negative_control
CSAG3,NTC-10,negative_control
CSDE1,NTC-10,negative_control
CSE1L,NTC-10,negative_control
CSF1,NTC-10,negative_control
CSGALNACT2,NTC-10,negative_control
CSKMT,NTC-10,negative_control
CSK,NTC-10,negative_control
CSMD1,NTC-10,negative_control
CSNK1A1,NTC-10,negative_control
CSNK1D,NTC-10,negative_control
CSNK1E,NTC-10,negative_control
CSNK1G1,NTC-10,negative_control
CSNK1G2,NTC-10,negative_control
CSNK1G3,NTC-10,negative_control
CSNK2A1,NTC-10,negative_control
CSNK2A2,NTC-10,negative_control
CSNK2B,NTC-10,negative_control
CS,NTC-10,negative_control
CSPG4P12,NTC-10,negative_control
CSPP1,NTC-10,negative_control
CSRNP1,NTC-10,negative_control
CSRNP2,NTC-10,negative_control
CSRP1,NTC-10,negative_control
CSRP2,NTC-10,negative_control
CST3,NTC-10,negative_control
CSTB,NTC-10,negative_control
CSTF1,NTC-10,negative_control
CSTF2,NTC-10,negative_control
CSTF2T,NTC-10,negative_control
CSTF3,NTC-10,negative_control
CT45A10,NTC-10,negative_control
CT55,NTC-10,negative_control
CT83,NTC-10,negative_control
CTBP1,NTC-10,negative_control
CTBP2,NTC-10,negative_control
CTBS,NTC-10,negative_control
CTC1,NTC-10,negative_control
CTCFL,NTC-10,negative_control
CTCF,NTC-10,negative_control
CTDNEP1,NTC-10,negative_control
CTDP1,NTC-10,negative_control
CTDSP1,NTC-10,negative_control
CTDSP2,NTC-10,negative_control
CTDSPL2,NTC-10,negative_control
CTDSPL,NTC-10,negative_control
CTH,NTC-10,negative_control
CTIF,NTC-10,negative_control
CTNNA1,NTC-10,negative_control
CTNNAL1,NTC-10,negative_control
CTNNB1,NTC-10,negative_control
CTNNBIP1,NTC-10,negative_control
CTNNBL1,NTC-10,negative_control
CTNND1,NTC-10,negative_control
CTNS,NTC-10,negative_control
CTPS1,NTC-10,negative_control
CTPS2,NTC-10,negative_control
CTR9,NTC-10,negative_control
CTSA,NTC-10,negative_control
CTSB,NTC-10,negative_control
CTSC,NTC-10,negative_control
CTSD,NTC-10,negative_control
CTSF,NTC-10,negative_control
CTSH,NTC-10,negative_control
CTSL,NTC-10,negative_control
CTSS,NTC-10,negative_control
CTSZ,NTC-10,negative_control
CTTNBP2NL,NTC-10,negative_control
CTTN,NTC-10,negative_control
CTU1,NTC-10,negative_control
CTXN1,NTC-10,negative_control
CUEDC2,NTC-10,negative_control
CUL1,NTC-10,negative_control
CUL2,NTC-10,negative_control
CUL3,NTC-10,negative_control
CUL4A,NTC-10,negative_control
CUL4B,NTC-10,negative_control
CUL5,NTC-10,negative_control
CUL7,NTC-10,negative_control
CUL9,NTC-10,negative_control
CUTALP,NTC-10,negative_control
CUTA,NTC-10,negative_control
CUTC,NTC-10,negative_control
CUX1,NTC-10,negative_control
CWC15,NTC-10,negative_control
CWC22,NTC-10,negative_control
CWC25,NTC-10,negative_control
CWC27,NTC-10,negative_control
CWF19L1,NTC-10,negative_control
CWF19L2,NTC-10,negative_control
CXCL3,NTC-10,negative_control
CXorf38,NTC-10,negative_control
CXorf40A,NTC-10,negative_control
CXorf40B,NTC-10,negative_control
CXorf56,NTC-10,negative_control
CXXC1,NTC-10,negative_control
CXXC5,NTC-10,negative_control
CYB561A3,NTC-10,negative_control
CYB561D1,NTC-10,negative_control
CYB561D2,NTC-10,negative_control
CYB561,NTC-10,negative_control
CYB5A,NTC-10,negative_control
CYB5B,NTC-10,negative_control
CYB5D1,NTC-10,negative_control
CYB5D2,NTC-10,negative_control
CYB5R1,NTC-10,negative_control
CYB5R2,NTC-10,negative_control
CYB5R3,NTC-10,negative_control
CYB5R4,NTC-10,negative_control
CYB5RL,NTC-10,negative_control
CYBC1,NTC-10,negative_control
CYBRD1,NTC-10,negative_control
CYC1,NTC-10,negative_control
CYCS,NTC-10,negative_control
CYFIP1,NTC-10,negative_control
CYHR1,NTC-10,negative_control
CYLD,NTC-10,negative_control
CYP20A1,NTC-10,negative_control
CYP26A1,NTC-10,negative_control
CYP2F2P,NTC-10,negative_control
CYP2R1,NTC-10,negative_control
CYP3A5,NTC-10,negative_control
CYP46A1,NTC-10,negative_control
CYP4V2,NTC-10,negative_control
CYP51A1,NTC-10,negative_control
CYREN,NTC-10,negative_control
CYSLTR1,NTC-10,negative_control
CYSTM1,NTC-10,negative_control
CYTH1,NTC-10,negative_control
CYTH2,NTC-10,negative_control
CYTH3,NTC-10,negative_control
CZIB,NTC-10,negative_control
DAAM1,NTC-10,negative_control
DAB2,NTC-10,negative_control
DACT3,NTC-10,negative_control
DAD1,NTC-10,negative_control
DAG1,NTC-10,negative_control
DALRD3,NTC-10,negative_control
DAP3,NTC-10,negative_control
DAPK1,NTC-10,negative_control
DAPK2,NTC-10,negative_control
DAPK3,NTC-10,negative_control
DAP,NTC-10,negative_control
DAPP1,NTC-10,negative_control
DARS2,NTC-10,negative_control
DARS,NTC-10,negative_control
DAXX,NTC-10,negative_control
DAZAP1,NTC-10,negative_control
DAZAP2,NTC-10,negative_control
DBF4B,NTC-10,negative_control
DBF4,NTC-10,negative_control
DBI,NTC-10,negative_control
DBN1,NTC-10,negative_control
DBNDD1,NTC-10,negative_control
DBNDD2,NTC-10,negative_control
DBNL,NTC-10,negative_control
DBP,NTC-10,negative_control
DBR1,NTC-10,negative_control
DBT,NTC-10,negative_control
DCAF10,NTC-10,negative_control
DCAF11,NTC-10,negative_control
DCAF12,NTC-10,negative_control
DCAF13,NTC-10,negative_control
DCAF15,NTC-10,negative_control
DCAF16,NTC-10,negative_control
DCAF17,NTC-10,negative_control
DCAF1,NTC-10,negative_control
DCAF4L2,NTC-10,negative_control
DCAF4,NTC-10,negative_control
DCAF5,NTC-10,negative_control
DCAF6,NTC-10,negative_control
DCAF7,NTC-10,negative_control
DCAF8,NTC-10,negative_control
DCAKD,NTC-10,negative_control
DCBLD1,NTC-10,negative_control
DCBLD2,NTC-10,negative_control
DCK,NTC-10,negative_control
DCLRE1A,NTC-10,negative_control
DCLRE1B,NTC-10,negative_control
DCLRE1C,NTC-10,negative_control
DCP1A,NTC-10,negative_control
DCP1B,NTC-10,negative_control
DCP2,NTC-10,negative_control
DCPS,NTC-10,negative_control
DCTD,NTC-10,negative_control
DCTN1,NTC-10,negative_control
DCTN2,NTC-10,negative_control
DCTN3,NTC-10,negative_control
DCTN4,NTC-10,negative_control
DCTN5,NTC-10,negative_control
DCTN6,NTC-10,negative_control
DCTPP1,NTC-10,negative_control
DCUN1D1,NTC-10,negative_control
DCUN1D2,NTC-10,negative_control
DCUN1D3,NTC-10,negative_control
DCUN1D4,NTC-10,negative_control
DCUN1D5,NTC-10,negative_control
DCXR,NTC-10,negative_control
DDA1,NTC-10,negative_control
DDAH2,NTC-10,negative_control
DDB1,NTC-10,negative_control
DDB2,NTC-10,negative_control
DDHD1,NTC-10,negative_control
DDHD2,NTC-10,negative_control
DDI2,NTC-10,negative_control
DDIAS,NTC-10,negative_control
DDIT3,NTC-10,negative_control
DDIT4,NTC-10,negative_control
DDOST,NTC-10,negative_control
DDR1,NTC-10,negative_control
DDRGK1,NTC-10,negative_control
DDX10,NTC-10,negative_control
DDX11,NTC-10,negative_control
DDX17,NTC-10,negative_control
DDX18,NTC-10,negative_control
DDX19A,NTC-10,negative_control
DDX19B,NTC-10,negative_control
DDX1,NTC-10,negative_control
DDX20,NTC-10,negative_control
DDX21,NTC-10,negative_control
DDX23,NTC-10,negative_control
DDX24,NTC-10,negative_control
DDX27,NTC-10,negative_control
DDX28,NTC-10,negative_control
DDX31,NTC-10,negative_control
DDX39A,NTC-10,negative_control
DDX39B,NTC-10,negative_control
DDX3X,NTC-10,negative_control
DDX41,NTC-10,negative_control
DDX42,NTC-10,negative_control
DDX46,NTC-10,negative_control
DDX49,NTC-10,negative_control
DDX51,NTC-10,negative_control
DDX52,NTC-10,negative_control
DDX54,NTC-10,negative_control
DDX55,NTC-10,negative_control
DDX56,NTC-10,negative_control
DDX58,NTC-10,negative_control
DDX59,NTC-10,negative_control
DDX60L,NTC-10,negative_control
DDX6,NTC-10,negative_control
DEAF1,NTC-10,negative_control
DECR1,NTC-10,negative_control
DECR2,NTC-10,negative_control
DEDD2,NTC-10,negative_control
DEDD,NTC-10,negative_control
DEF6,NTC-10,negative_control
DEF8,NTC-10,negative_control
DEGS1,NTC-10,negative_control
DEK,NTC-10,negative_control
DELE1,NTC-10,negative_control
DENND1A,NTC-10,negative_control
DENND1B,NTC-10,negative_control
DENND4A,NTC-10,negative_control
DENND4B,NTC-10,negative_control
DENND4C,NTC-10,negative_control
DENND5A,NTC-10,negative_control
DENND5B,NTC-10,negative_control
DENND6A,NTC-10,negative_control
DENND6B,NTC-10,negative_control
DENR,NTC-10,negative_control
DEPDC1B,NTC-10,negative_control
DEPDC1,NTC-10,negative_control
DEPDC4,NTC-10,negative_control
DEPDC5,NTC-10,negative_control
DEPDC7,NTC-10,negative_control
DERA,NTC-10,negative_control
DERL1,NTC-10,negative_control
DERL2,NTC-10,negative_control
DESI1,NTC-10,negative_control
DESI2,NTC-10,negative_control
DES,NTC-10,negative_control
DET1,NTC-10,negative_control
DEUP1,NTC-10,negative_control
DFFA,NTC-10,negative_control
DFFB,NTC-10,negative_control
DGAT1,NTC-10,negative_control
DGAT2,NTC-10,negative_control
DGCR2,NTC-10,negative_control
DGCR6L,NTC-10,negative_control
DGCR8,NTC-10,negative_control
DGKD,NTC-10,negative_control
DGKE,NTC-10,negative_control
DGKH,NTC-10,negative_control
DGKQ,NTC-10,negative_control
DGKZ,NTC-10,negative_control
DGLUCY,NTC-10,negative_control
DGUOK,NTC-10,negative_control
DHCR24,NTC-10,negative_control
DHCR7,NTC-10,negative_control
DHDDS,NTC-10,negative_control
DHFR,NTC-10,negative_control
DHODH,NTC-10,negative_control
DHRS11,NTC-10,negative_control
DHRS1,NTC-10,negative_control
DHRS2,NTC-10,negative_control
DHRS3,NTC-10,negative_control
DHRS4L2,NTC-10,negative_control
DHRS4,NTC-10,negative_control
DHRS7B,NTC-10,negative_control
DHRS7,NTC-10,negative_control
DHRSX,NTC-10,negative_control
DHTKD1,NTC-10,negative_control
DHX15,NTC-10,negative_control
DHX16,NTC-10,negative_control
DHX29,NTC-10,negative_control
DHX30,NTC-10,negative_control
DHX32,NTC-10,negative_control
DHX33,NTC-10,negative_control
DHX34,NTC-10,negative_control
DHX35,NTC-10,negative_control
DHX36,NTC-10,negative_control
DHX37,NTC-10,negative_control
DHX38,NTC-10,negative_control
DHX40,NTC-10,negative_control
DHX57,NTC-10,negative_control
DHX8,NTC-10,negative_control
DHX9,NTC-10,negative_control
DIABLO,NTC-10,negative_control
DIAPH1,NTC-10,negative_control
DIAPH3,NTC-10,negative_control
DICER1,NTC-10,negative_control
DIDO1,NTC-10,negative_control
DIMT1,NTC-10,negative_control
DIP2A,NTC-10,negative_control
DIP2B,NTC-10,negative_control
DIPK1A,NTC-10,negative_control
DIPK1B,NTC-10,negative_control
DIPK2A,NTC-10,negative_control
DIRAS1,NTC-10,negative_control
DIRAS3,NTC-10,negative_control
DIS3L2,NTC-10,negative_control
DIS3L,NTC-10,negative_control
DIS3,NTC-10,negative_control
DIXDC1,NTC-10,negative_control
DKC1,NTC-10,negative_control
DLAT,NTC-10,negative_control
DLC1,NTC-10,negative_control
DLD,NTC-10,negative_control
DLG1,NTC-10,negative_control
DLG3,NTC-10,negative_control
DLG4,NTC-10,negative_control
DLG5,NTC-10,negative_control
DLGAP4,NTC-10,negative_control
DLGAP5,NTC-10,negative_control
DLL3,NTC-10,negative_control
DLST,NTC-10,negative_control
DLX1,NTC-10,negative_control
DMAC1,NTC-10,negative_control
DMAC2L,NTC-10,negative_control
DMAC2,NTC-10,negative_control
DMAP1,NTC-10,negative_control
DMBX1,NTC-10,negative_control
DMD,NTC-10,negative_control
DMPK,NTC-10,negative_control
DMTF1,NTC-10,negative_control
DMTN,NTC-10,negative_control
DMWD,NTC-10,negative_control
DMXL1,NTC-10,negative_control
DMXL2,NTC-10,negative_control
DNA2,NTC-10,negative_control
DNAAF2,NTC-10,negative_control
DNAAF3,NTC-10,negative_control
DNAAF5,NTC-10,negative_control
DNAH14,NTC-10,negative_control
DNAH8,NTC-10,negative_control
DNAJA1,NTC-10,negative_control
DNAJA2,NTC-10,negative_control
DNAJA3,NTC-10,negative_control
DNAJB11,NTC-10,negative_control
DNAJB12,NTC-10,negative_control
DNAJB14,NTC-10,negative_control
DNAJB1,NTC-10,negative_control
DNAJB2,NTC-10,negative_control
DNAJB4,NTC-10,negative_control
DNAJB6,NTC-10,negative_control
DNAJB9,NTC-10,negative_control
DNAJC10,NTC-10,negative_control
DNAJC11,NTC-10,negative_control
DNAJC12,NTC-10,negative_control
DNAJC13,NTC-10,negative_control
DNAJC14,NTC-10,negative_control
DNAJC15,NTC-10,negative_control
DNAJC16,NTC-10,negative_control
DNAJC17,NTC-10,negative_control
DNAJC18,NTC-10,negative_control
DNAJC19,NTC-10,negative_control
DNAJC1,NTC-10,negative_control
DNAJC21,NTC-10,negative_control
DNAJC24,NTC-10,negative_control
DNAJC25-GNG10,NTC-10,negative_control
DNAJC25,NTC-10,negative_control
DNAJC27,NTC-10,negative_control
DNAJC2,NTC-10,negative_control
DNAJC30,NTC-10,negative_control
DNAJC3,NTC-10,negative_control
DNAJC4,NTC-10,negative_control
DNAJC5,NTC-10,negative_control
DNAJC6,NTC-10,negative_control
DNAJC7,NTC-10,negative_control
DNAJC8,NTC-10,negative_control
DNAJC9,NTC-10,negative_control
DNAL1,NTC-10,negative_control
DNAL4,NTC-10,negative_control
DNASE1L1,NTC-10,negative_control
DNASE1,NTC-10,negative_control
DNHD1,NTC-10,negative_control
DNLZ,NTC-10,negative_control
DNM1L,NTC-10,negative_control
DNM1,NTC-10,negative_control
DNM2,NTC-10,negative_control
DNMBP,NTC-10,negative_control
DNMT1,NTC-10,negative_control
DNMT3A,NTC-10,negative_control
DNMT3B,NTC-10,negative_control
DNPEP,NTC-10,negative_control
DNPH1,NTC-10,negative_control
DNTTIP1,NTC-10,negative_control
DNTTIP2,NTC-10,negative_control
DOCK11,NTC-10,negative_control
DOCK2,NTC-10,negative_control
DOCK6,NTC-10,negative_control
DOCK7,NTC-10,negative_control
DOCK8,NTC-10,negative_control
DOCK9,NTC-10,negative_control
DOHH,NTC-10,negative_control
DOK1,NTC-10,negative_control
DOK3,NTC-10,negative_control
DOK4,NTC-10,negative_control
DOLK,NTC-10,negative_control
DOLPP1,NTC-10,negative_control
DONSON,NTC-10,negative_control
DOP1A,NTC-10,negative_control
DOP1B,NTC-10,negative_control
DOT1L,NTC-10,negative_control
DPAGT1,NTC-10,negative_control
DPCD,NTC-10,negative_control
DPF1,NTC-10,negative_control
DPF2,NTC-10,negative_control
DPH1,NTC-10,negative_control
DPH2,NTC-10,negative_control
DPH3,NTC-10,negative_control
DPH5,NTC-10,negative_control
DPH6,NTC-10,negative_control
DPH7,NTC-10,negative_control
DPM1,NTC-10,negative_control
DPM2,NTC-10,negative_control
DPM3,NTC-10,negative_control
DPP3,NTC-10,negative_control
DPP6,NTC-10,negative_control
DPP7,NTC-10,negative_control
DPP8,NTC-10,negative_control
DPP9,NTC-10,negative_control
DPPA4,NTC-10,negative_control
DPY19L1,NTC-10,negative_control
DPY19L1P1,NTC-10,negative_control
DPY19L2P2,NTC-10,negative_control
DPY19L2P3,NTC-10,negative_control
DPY19L3,NTC-10,negative_control
DPY19L4,NTC-10,negative_control
DPY30,NTC-10,negative_control
DR1,NTC-10,negative_control
DRAM1,NTC-10,negative_control
DRAM2,NTC-10,negative_control
DRAP1,NTC-10,negative_control
DRG1,NTC-10,negative_control
DRG2,NTC-10,negative_control
DROSHA,NTC-10,negative_control
DSC1,NTC-10,negative_control
DSC2,NTC-10,negative_control
DSCC1,NTC-10,negative_control
DSG2,NTC-10,negative_control
DSN1,NTC-10,negative_control
DSTN,NTC-10,negative_control
DST,NTC-10,negative_control
DSTYK,NTC-10,negative_control
DTD1,NTC-10,negative_control
DTD2,NTC-10,negative_control
DTL,NTC-10,negative_control
DTNBP1,NTC-10,negative_control
DTWD1,NTC-10,negative_control
DTWD2,NTC-10,negative_control
DTX2,NTC-10,negative_control
DTX3L,NTC-10,negative_control
DTYMK,NTC-10,negative_control
DUS1L,NTC-10,negative_control
DUS2,NTC-10,negative_control
DUS3L,NTC-10,negative_control
DUS4L,NTC-10,negative_control
DUSP10,NTC-10,negative_control
DUSP11,NTC-10,negative_control
DUSP12,NTC-10,negative_control
DUSP13,NTC-10,negative_control
DUSP14,NTC-10,negative_control
DUSP16,NTC-10,negative_control
DUSP19,NTC-10,negative_control
DUSP1,NTC-10,negative_control
DUSP22,NTC-10,negative_control
DUSP23,NTC-10,negative_control
DUSP28,NTC-10,negative_control
DUSP3,NTC-10,negative_control
DUSP7,NTC-10,negative_control
DUSP9,NTC-10,negative_control
DUT,NTC-10,negative_control
DUXAP9,NTC-10,negative_control
DVL1,NTC-10,negative_control
DVL2,NTC-10,negative_control
DVL3,NTC-10,negative_control
DXO,NTC-10,negative_control
DYM,NTC-10,negative_control
DYNC1H1,NTC-10,negative_control
DYNC1I2,NTC-10,negative_control
DYNC1LI1,NTC-10,negative_control
DYNC1LI2,NTC-10,negative_control
DYNC2LI1,NTC-10,negative_control
DYNLL1,NTC-10,negative_control
DYNLL2,NTC-10,negative_control
DYNLRB1,NTC-10,negative_control
DYNLT1,NTC-10,negative_control
DYNLT3,NTC-10,negative_control
DYRK1A,NTC-10,negative_control
DYRK1B,NTC-10,negative_control
DYRK2,NTC-10,negative_control
DYRK3,NTC-10,negative_control
DYRK4,NTC-10,negative_control
DZIP3,NTC-10,negative_control
E2F1,NTC-10,negative_control
E2F2,NTC-10,negative_control
E2F3,NTC-10,negative_control
E2F4,NTC-10,negative_control
E2F5,NTC-10,negative_control
E2F6,NTC-10,negative_control
E2F7,NTC-10,negative_control
E2F8,NTC-10,negative_control
E4F1,NTC-10,negative_control
EAF1,NTC-10,negative_control
EAF2,NTC-10,negative_control
EAPP,NTC-10,negative_control
EARS2,NTC-10,negative_control
EBAG9,NTC-10,negative_control
EBNA1BP2,NTC-10,negative_control
EBPL,NTC-10,negative_control
EBP,NTC-10,negative_control
ECD,NTC-10,negative_control
ECE1,NTC-10,negative_control
ECH1,NTC-10,negative_control
ECHDC1,NTC-10,negative_control
ECHDC2,NTC-10,negative_control
ECHDC3,NTC-10,negative_control
ECHS1,NTC-10,negative_control
ECI1,NTC-10,negative_control
ECI2,NTC-10,negative_control
ECM1,NTC-10,negative_control
ECPAS,NTC-10,negative_control
ECSIT,NTC-10,negative_control
ECT2,NTC-10,negative_control
EDARADD,NTC-10,negative_control
EDC3,NTC-10,negative_control
EDC4,NTC-10,negative_control
EDEM1,NTC-10,negative_control
EDEM2,NTC-10,negative_control
EDEM3,NTC-10,negative_control
EDF1,NTC-10,negative_control
EDRF1,NTC-10,negative_control
EEA1,NTC-10,negative_control
EED,NTC-10,negative_control
EEF1A1,NTC-10,negative_control
EEF1A1P13,NTC-10,negative_control
EEF1A1P19,NTC-10,negative_control
EEF1A1P22,NTC-10,negative_control
EEF1A1P9,NTC-10,negative_control
EEF1A2,NTC-10,negative_control
EEF1AKMT1,NTC-10,negative_control
EEF1AKMT2,NTC-10,negative_control
EEF1AKMT3,NTC-10,negative_control
EEF1AKNMT,NTC-10,negative_control
EEF1B2,NTC-10,negative_control
EEF1D,NTC-10,negative_control
EEF1E1,NTC-10,negative_control
EEF2KMT,NTC-10,negative_control
EEF2K,NTC-10,negative_control
EEF2,NTC-10,negative_control
EFCAB10,NTC-10,negative_control
EFCAB11,NTC-10,negative_control
EFCAB13,NTC-10,negative_control
EFCAB14,NTC-10,negative_control
EFCAB2,NTC-10,negative_control
EFCAB7,NTC-10,negative_control
EFEMP1,NTC-10,negative_control
EFHC1,NTC-10,negative_control
EFHD2,NTC-10,negative_control
EFL1,NTC-10,negative_control
EFNA4,NTC-10,negative_control
EFR3A,NTC-10,negative_control
EFTUD2,NTC-10,negative_control
EGFL7,NTC-10,negative_control
EGLN1,NTC-10,negative_control
EGLN3,NTC-10,negative_control
EGR1,NTC-10,negative_control
EHBP1L1,NTC-10,negative_control
EHBP1,NTC-10,negative_control
EHD1,NTC-10,negative_control
EHD2,NTC-10,negative_control
EHD4,NTC-10,negative_control
EHHADH,NTC-10,negative_control
EHMT1,NTC-10,negative_control
EHMT2,NTC-10,negative_control
EI24,NTC-10,negative_control
EID1,NTC-10,negative_control
EID2B,NTC-10,negative_control
EID2,NTC-10,negative_control
EIF1AD,NTC-10,negative_control
EIF1AX,NTC-10,negative_control
EIF1B,NTC-10,negative_control
EIF1,NTC-10,negative_control
EIF2AK2,NTC-10,negative_control
EIF2AK3,NTC-10,negative_control
EIF2AK4,NTC-10,negative_control
EIF2A,NTC-10,negative_control
EIF2B1,NTC-10,negative_control
EIF2B2,NTC-10,negative_control
EIF2B3,NTC-10,negative_control
EIF2B4,NTC-10,negative_control
EIF2B5,NTC-10,negative_control
EIF2D,NTC-10,negative_control
EIF2S1,NTC-10,negative_control
EIF2S2,NTC-10,negative_control
EIF2S3,NTC-10,negative_control
EIF3A,NTC-10,negative_control
EIF3B,NTC-10,negative_control
EIF3C,NTC-10,negative_control
EIF3D,NTC-10,negative_control
EIF3E,NTC-10,negative_control
EIF3F,NTC-10,negative_control
EIF3G,NTC-10,negative_control
EIF3H,NTC-10,negative_control
EIF3I,NTC-10,negative_control
EIF3J,NTC-10,negative_control
EIF3K,NTC-10,negative_control
EIF3L,NTC-10,negative_control
EIF3M,NTC-10,negative_control
EIF4A1,NTC-10,negative_control
EIF4A1P4,NTC-10,negative_control
EIF4A2,NTC-10,negative_control
EIF4A3,NTC-10,negative_control
EIF4B,NTC-10,negative_control
EIF4E2,NTC-10,negative_control
EIF4EBP1,NTC-10,negative_control
EIF4EBP2,NTC-10,negative_control
EIF4ENIF1,NTC-10,negative_control
EIF4E,NTC-10,negative_control
EIF4G1,NTC-10,negative_control
EIF4G2,NTC-10,negative_control
EIF4G3,NTC-10,negative_control
EIF4H,NTC-10,negative_control
EIF5A2,NTC-10,negative_control
EIF5A,NTC-10,negative_control
EIF5B,NTC-10,negative_control
EIF5,NTC-10,negative_control
EIF6,NTC-10,negative_control
EIPR1,NTC-10,negative_control
ELAC1,NTC-10,negative_control
ELAC2,NTC-10,negative_control
ELAVL1,NTC-10,negative_control
ELF1,NTC-10,negative_control
ELF2,NTC-10,negative_control
ELF4,NTC-10,negative_control
ELK1,NTC-10,negative_control
ELK4,NTC-10,negative_control
ELL2,NTC-10,negative_control
ELL,NTC-10,negative_control
ELMO1,NTC-10,negative_control
ELMO2,NTC-10,negative_control
ELMOD2,NTC-10,negative_control
ELMOD3,NTC-10,negative_control
ELMSAN1,NTC-10,negative_control
ELOA,NTC-10,negative_control
ELOB,NTC-10,negative_control
ELOC,NTC-10,negative_control
ELOF1,NTC-10,negative_control
ELOVL1,NTC-10,negative_control
ELOVL5,NTC-10,negative_control
ELOVL6,NTC-10,negative_control
ELOVL7,NTC-10,negative_control
ELP1,NTC-10,negative_control
ELP2,NTC-10,negative_control
ELP3,NTC-10,negative_control
ELP4,NTC-10,negative_control
ELP5,NTC-10,negative_control
ELP6,NTC-10,negative_control
EMBP1,NTC-10,negative_control
EMC10,NTC-10,negative_control
EMC1,NTC-10,negative_control
