Gene,gRNA
CD46,CD46-2
CD52,CD52-1
CD52,CD52-2
HSPA8,HSPA8-1
HSPA8,HSPA8-2
NMU,NMU-1
NMU,NMU-2
PPIA,PPIA-1
PPIA,PPIA-2
RPL22,RPL22-1
RPL22,RPL22-2
