"Gene","gRNA","p_value"
"CD46","CD46-2",4.64667984866252e-36
"CD52","CD52-1",2.5941721277133e-08
"CD52","CD52-2",NA
"HSPA8","HSPA8-1",7.94057556028543e-42
"HSPA8","HSPA8-2",3.54063980759979e-19
"NMU","NMU-1",0.0569458516030992
"NMU","NMU-2",NA
"PPIA","PPIA-1",0.9576647352787
"PPIA","PPIA-2",NA
"RPL22","RPL22-1",NA
"RPL22","RPL22-2",NA
