"Gene","gRNA","p_value"
"ZBTB24","NTC-2",0.207199851344403
"ZDHHC5","NTC-2",0.00890971502529553
"CEP68","NTC-3",0.835782595090883
"FAM110D","NTC-3",0.904046535585022
"KMT5B","NTC-3",0.0653938736542184
"MAN2B2","NTC-3",0.594359343612842
"TP73","NTC-3",0.291121755435491
"USP42","NTC-3",0.620950507630976
"MVD","NTC-4",0.96170487903938
"PARP1","NTC-4",0.0410686194776319
"SPAG5","NTC-5",0.78695143431279
"CBX5","NTC-6",0.111227151535156
"COPS7A","NTC-6",0.313074913326048
"LYN","NTC-6",0.0110733386347752
"NIT1","NTC-6",0.356214723420162
"RRP12","NTC-6",0.804000221463091
"USP39","NTC-6",0.656793601400116
"BOLA2-SMG1P6","NTC-8",0.0152387996170044
"FTSJ3","NTC-8",0.300611338861921
"HIRIP3","NTC-8",0.726875626546542
"HSP90AA1","NTC-8",0.662859591843035
"RALGDS","NTC-8",0.991911668592317
"ECH1","NTC-9",0.479386594536266
"GEMIN5","NTC-9",0.13498731808837
"KIF11","NTC-9",0.436090965692287
"MRPS18A","NTC-9",0.530735015445485
"P3H3","NTC-9",0.487944807844663
"SPSB2","NTC-9",0.00166636867964062
"A1BG","NTC-10",0.123900653206405
"AAAS","NTC-10",0.370287932652219
"AACS","NTC-10",0.302901171301986
"AAGAB","NTC-10",0.49029510521214
"AAK1","NTC-10",0.0892173093041301
"AAMDC","NTC-10",0.672038802607955
"AAMP","NTC-10",0.08059770094422
"AAR2","NTC-10",0.0116705178937868
"AARS2","NTC-10",0.178796716120617
"AARSD1","NTC-10",0.378535860636049
"AASDH","NTC-10",0.680845177067999
"AASDHPPT","NTC-10",0.628495086284014
"AATF","NTC-10",0.632226916376205
"ABCA17P","NTC-10",0.0105556702752538
"ABCA2","NTC-10",0.33621365336362
"ABCA3","NTC-10",0.418309393527258
"ABCA5","NTC-10",0.852868618996739
"ABCA7","NTC-10",0.0720352422186762
"ABCA8","NTC-10",0.284568941653707
"ABCB10","NTC-10",0.809192427415597
"ABCB1","NTC-10",0.163643731678723
"ABCB7","NTC-10",0.0970874707607386
"ABCB8","NTC-10",0.191056360064628
"ABCB9","NTC-10",0.89281476670467
"ABCC10","NTC-10",0.155289475073245
"ABCC1","NTC-10",0.16913272404091
"ABCC4","NTC-10",0.223770960586915
"ABCC5","NTC-10",0.10073530003689
"ABCC9","NTC-10",0.0799051612590244
"ABCD1","NTC-10",0.603740018403149
"ABCD3","NTC-10",0.567225325543555
"ABCD4","NTC-10",0.35463405808032
"ABCE1","NTC-10",0.930017793138131
"ABCF1","NTC-10",0.0167705339388773
"ABCF2","NTC-10",0.677452954649609
"ABCF3","NTC-10",0.948738329410637
"ABHD10","NTC-10",0.824097466657255
"ABHD11","NTC-10",0.278213414912048
"ABHD12B","NTC-10",0.564987595089901
"ABHD12","NTC-10",0.53513103525324
"ABHD13","NTC-10",0.84799813486886
"ABHD14A","NTC-10",0.349579525821916
"ABHD14B","NTC-10",0.294569424750354
"ABHD16A","NTC-10",0.606634897487457
"ABHD17A","NTC-10",0.0949079917098839
"ABHD17B","NTC-10",0.269230894951962
"ABHD18","NTC-10",0.248255922143572
"ABHD2","NTC-10",0.0398066819468956
"ABHD3","NTC-10",0.392593902688361
"ABHD4","NTC-10",0.713412590626846
"ABHD5","NTC-10",0.851786631697186
"ABHD6","NTC-10",0.87528492642009
"ABHD8","NTC-10",0.619397812102818
"ABI1","NTC-10",0.135687343465019
"ABI2","NTC-10",0.477023925381772
"ABL1","NTC-10",0.319665795689178
"ABL2","NTC-10",0.938357458996663
"ABLIM1","NTC-10",0.625179426431785
"ABO","NTC-10",0.124180492729975
"ABRACL","NTC-10",0.0161832997658205
"ABRAXAS1","NTC-10",0.274220268560925
"ABRAXAS2","NTC-10",0.0736607246357462
"ABT1","NTC-10",0.753349531598478
"ACAA1","NTC-10",0.925999145737611
"ACAA2","NTC-10",0.694624629145854
"ACACA","NTC-10",0.19783840435664
"ACAD10","NTC-10",0.678740558988659
"ACAD8","NTC-10",0.508233639211894
"ACAD9","NTC-10",0.368320617173233
"ACADM","NTC-10",0.0476449094592304
"ACADSB","NTC-10",0.363785248731875
