"Gene","gRNA","p_value"
"LAMP1","SNP-2-2",0.0663329636948563
"PCID2","SNP-2-2",0.052709889210449
"TMCO3","SNP-2-2",0.521707428858315
"GRTP1","SNP-2-2",0.347353162945236
"NCOA3","SNP-68-2",0.922087970760664
"CD55","SNP-20-2",0.262557315479454
"CD46","SNP-20-2",0.235431379546407
"PPP1R14A","SNP-34-2",0.011305681162998
"SARS2","SNP-34-2",0.188478687525759
"PAK4","SNP-34-2",0.0995482793582361
"YIF1B","SNP-34-2",2.11172190551728e-06
"FBXO27","SNP-34-2",0.59416986416894
"FBXO17","SNP-34-2",0.406474270536509
"NFKBIB","SNP-34-2",0.000255820064176849
"MRPS12","SNP-34-2",1.97739807016898e-08
"PSMD8","SNP-34-2",2.14795403930956e-07
"EIF3K","SNP-34-2",4.68255482407851e-05
"FAM98C","SNP-34-2",0.0178837020152426
"KCNK6","SNP-34-2",0.867938675682628
"ECH1","SNP-34-2",0.113907282565279
"SIRT2","SNP-34-2",0.918446030202173
"DPF1","SNP-34-2",0.888834605955607
"HNRNPL","SNP-34-2",3.99191290970528e-05
"GINS4","SNP-61-1",2.24061806360722e-05
"IKBKB","SNP-61-1",0.827698984995845
"AP3M2","SNP-61-1",0.532826908867224
"KAT6A","SNP-61-1",0.280889331478153
"GPAT4","SNP-61-1",0.0940356947218403
"GOLGA7","SNP-61-1",0.0176387889735952
"LRP5","SNP-60-1",0.0834653384688915
"PPP6R3","SNP-60-1",0.802865624496348
"GSTP1","SNP-60-1",0.947177262829487
"NUDT8","SNP-60-1",0.347269567690261
"KMT5B","SNP-60-1",0.258522965199111
"CHKA","SNP-60-1",0.934287417702461
"NDUFV1","SNP-60-1",0.973868218211516
"C11orf24","SNP-60-1",0.00419338297949142
"SH3BGRL3","SNP-21-2",0.000124396524034727
"CEP85","SNP-21-2",0.934618268259161
"DHDDS","SNP-21-2",0.253475445359229
"HMGN2","SNP-21-2",0.0101266086157056
"AUNIP","SNP-21-2",0.00590062329516744
"PDIK1L","SNP-21-2",0.56803782675892
"UBXN11","SNP-21-2",0.268360335451196
"CRYBG2","SNP-21-2",0.66590314027297
"STMN1","SNP-21-2",1.55547917436809e-05
"FAM110D","SNP-21-2",0.0421109233300363
"ZNF593","SNP-21-2",3.12862720416265e-08
"PIGV","SNP-21-2",0.581062625536201
"PAFAH2","SNP-21-2",0.226712717319519
"RPS6KA1","SNP-21-2",0.180197299754461
"MLF2","SNP-28-1",2.10219256857183e-05
"MRPL51","SNP-28-1",0.000601478021826415
"LTBR","SNP-28-1",0.0952672038877899
"TPI1","SNP-28-1",9.24637934652687e-08
"COPS7A","SNP-28-1",0.0267320052514769
"GAPDH","SNP-28-1",2.9927417538418e-11
"NCAPD2","SNP-28-1",0.193614968258137
"LPAR5","SNP-28-1",0.00399955381518024
"PTMS","SNP-28-1",4.79206023823953e-08
"P3H3","SNP-28-1",0.0128871906853937
"ZNF384","SNP-28-1",0.52245810186938
"ACRBP","SNP-28-1",0.00549865767691139
"SPSB2","SNP-28-1",0.276492675442402
"NOP2","SNP-28-1",0.173260459622113
"CHD4","SNP-28-1",0.0416029095625318
"USP5","SNP-28-1",0.165990835112891
"ING4","SNP-28-1",0.169494697411282
"CD9","SNP-28-1",0.0483910294359703
"TNFRSF1A","SNP-28-1",0.00248327167788929
"ZDHHC19","SNP-26-2",0.814124968223446
"PCYT1A","SNP-26-2",0.772967325890091
"TM4SF19","SNP-26-2",0.178044714837668
"FBXO45","SNP-26-2",0.440909430363257
"UBXN7","SNP-26-2",0.640088375118936
"RNF168","SNP-26-2",0.309970821334664
"WDR53","SNP-26-2",0.503047596732346
"TNK2","SNP-26-2",0.792218900461577
"BANP","SNP-74-1",0.294074499868544
"KLHDC4","SNP-74-1",0.14675212165682
"MAP1LC3B","SNP-74-1",0.0668041130382806
"FBXO31","SNP-74-1",0.278108720632899
"CA5A","SNP-74-1",0.24608888648829
"ZCCHC14","SNP-74-1",0.1372926419598
"AZI2","SNP-80-2",0.000627506583992487
"TNFRSF1A","SNP-27-1",0.964782729768302
"CD9","SNP-27-1",0.00121492350477519
"COPS7A","SNP-27-1",0.857498061437602
"MRPL51","SNP-27-1",0.00261931841170546
"CHD4","SNP-27-1",0.821607761458594
"LPAR5","SNP-27-1",0.134191324446664
"MLF2","SNP-27-1",2.05314920486974e-05
"PTMS","SNP-27-1",2.87452629472211e-05
"ING4","SNP-27-1",0.0415491291197638
"NOP2","SNP-27-1",0.915576687328158
"ZNF384","SNP-27-1",0.891848605137964
"ACRBP","SNP-27-1",0.00578245503473928
