"Gene","gRNA","p_value"
"CD46","CD46-2",1.40481909280637e-32
"CD52","CD52-1",5.91862323402284e-07
"CD52","CD52-2",NA
"HSPA8","HSPA8-1",3.65842079615822e-15
"HSPA8","HSPA8-2",0.0775846721788632
"NMU","NMU-1",0.10775022948594
"NMU","NMU-2",NA
"PPIA","PPIA-1",0.209064119975254
"PPIA","PPIA-2",NA
"RPL22","RPL22-1",NA
"RPL22","RPL22-2",NA
